Epoch,TrainLoss,ValLoss,Dice,IoU,Precision,Recall,F1
1,0.0676,0.0490,0.6859,0.5024,0.6135,0.8051,0.6859
2,0.0649,0.0481,0.6885,0.5060,0.6165,0.8055,0.6885
3,0.0628,0.0479,0.6741,0.4809,0.6202,0.7635,0.6741
4,0.0620,0.0476,0.6275,0.4241,0.6073,0.6685,0.6275
5,0.0615,0.0472,0.5844,0.3668,0.6200,0.5704,0.5844
1,0.0622,0.0554,0.2885,0.1379,0.4814,0.2225,0.2885
2,0.0617,0.0551,0.2225,0.0962,0.4945,0.1527,0.2225
3,0.0614,0.0548,0.1619,0.0678,0.5034,0.1018,0.1619
4,0.0611,0.0547,0.1112,0.0465,0.4780,0.0654,0.1112
5,0.0610,0.0546,0.0943,0.0609,0.5105,0.0531,0.0943
6,0.0609,0.0545,0.0824,0.0500,0.4900,0.0461,0.0824
7,0.0610,0.0544,0.0835,0.0504,0.5013,0.0470,0.0835
8,0.0608,0.0544,0.0834,0.0556,0.5092,0.0466,0.0834
9,0.0608,0.0542,0.0787,0.0587,0.5115,0.0439,0.0787
10,0.0609,0.0543,0.0777,0.0588,0.5120,0.0435,0.0777
1,0.0632,0.0543,0.5889,0.3970,0.5355,0.7331,0.5889
2,0.0621,0.0541,0.5560,0.3547,0.5340,0.6459,0.5560
3,0.0617,0.0537,0.5096,0.3079,0.5367,0.5346,0.5096
4,0.0616,0.0535,0.5101,0.2956,0.5657,0.5009,0.5101
5,0.0614,0.0535,0.4906,0.2715,0.5983,0.4568,0.4906
6,0.0613,0.0532,0.5087,0.2824,0.5938,0.4730,0.5087
7,0.0612,0.0533,0.4867,0.2688,0.5838,0.4507,0.4867
8,0.0612,0.0532,0.5133,0.2876,0.5926,0.4875,0.5133
9,0.0613,0.0531,0.5433,0.3059,0.6258,0.5182,0.5433
10,0.0613,0.0531,0.5590,0.3080,0.6416,0.5396,0.5590
1,0.0698,0.0501,0.6866,0.5122,0.5986,0.8457,0.6866
2,0.0647,0.0487,0.5307,0.3119,0.5918,0.4998,0.5307
3,0.0630,0.0480,0.3867,0.1906,0.5924,0.2978,0.3867
4,0.0625,0.0478,0.2282,0.1039,0.5566,0.1466,0.2282
5,0.0622,0.0475,0.1622,0.0676,0.6001,0.0961,0.1622
1,0.0650,0.0490,0.7139,0.5615,0.6069,0.9182,0.7139
2,0.0623,0.0480,0.6226,0.4237,0.6067,0.6716,0.6226
3,0.0612,0.0473,0.5166,0.2986,0.6269,0.4578,0.5166
4,0.0608,0.0472,0.4311,0.2305,0.6183,0.3378,0.4311
5,0.0606,0.0469,0.4261,0.2225,0.6397,0.3281,0.4261
1,0.4066,0.0400,0.7651,0.6029,0.7110,0.8382,0.7651
1,0.4120,0.0396,0.4640,0.2678,0.7106,0.3473,0.4640
2,0.3871,0.0395,0.4624,0.2655,0.7231,0.3425,0.4624
3,0.3822,0.0394,0.4866,0.2844,0.7317,0.3678,0.4866
4,0.3798,0.0394,0.5195,0.3121,0.7359,0.4052,0.5195
5,0.3745,0.0393,0.5328,0.3227,0.7386,0.4208,0.5328
1,0.3829,0.0390,0.6034,0.4373,0.7740,0.4995,0.6034
2,0.3582,0.6820,0.4744,0.0000,0.0386,0.6307,0.4714,0.0000,0.7775,0.5363,0.6307
3,0.3436,0.6739,0.4625,0.0000,0.0380,0.6224,0.4629,0.0000,0.7834,0.5206,0.6224
4,0.3342,0.6816,0.4712,0.0000,0.0377,0.6266,0.4669,0.0000,0.7869,0.5253,0.6266
5,0.3263,0.7263,0.5285,0.0000,0.0379,0.6744,0.5297,0.0000,0.7772,0.6013,0.6744
1,0.4618,0.7775,0.6361,0.5485,0.0428,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
2,0.4373,0.7841,0.6472,0.5545,0.0425,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
3,0.4248,0.7844,0.6477,0.5548,0.0423,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
4,0.4143,0.7843,0.6477,0.5548,0.0421,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
5,0.4038,0.7844,0.6477,0.5548,0.0419,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
6,0.3965,0.7844,0.6477,0.5548,0.0418,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
7,0.3899,0.7843,0.6477,0.5548,0.0418,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
8,0.3847,0.7844,0.6477,0.5548,0.0415,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
9,0.3807,0.7845,0.6477,0.5548,0.0414,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
10,0.3768,0.7844,0.6477,0.5548,0.0415,0.7315,0.6445,0.5453,0.6441,0.8722,0.7315
